GESTION;2018;;;;;;;
TYPE BUDGET;Budget général;;;;;;;
;;;;; Données;;;
Économie;134;4;31;Dépenses de fonctionnement autres que celles de personnel;238 775;25 490 000;238 775;5 490 000
Économie;134;4;32;Subventions pour charges de service public;31 303 492;32 000 000;31 303 492;32 000 000
Économie;134;4;62;Transferts aux entreprises;120 520 000;128 020 000;120 520 000;128 020 000
Économie;134;4;64;Transferts aux autres collectivités;10 267 184;11 468 000;10 267 184;11 468 000
Économie;134;7;31;Dépenses de fonctionnement autres que celles de personnel;72 300 000;58 630 000;72 300 000;59 630 000
Économie;134;7;32;Subventions pour charges de service public;97 759 558;95 259 558;97 759 558;95 259 558
Économie;134;8;21;Rémunérations d’activité;12 930 169;12 209 983;12 930 169;12 209 983
Économie;134;8;22;Cotisations et contributions sociales;6 912 538;6 540 609;6 912 538;6 540 609
Économie;134;8;23;Prestations sociales et allocations diverses;39 807;34 111;39 807;34 111
Économie;134;8;31;Dépenses de fonctionnement autres que celles de personnel;59 432;0;59 432;22 526
Économie;134;8;64;Transferts aux autres collectivités;3 500;;3 500;
Économie;134;13;21;Rémunérations d’activité;11 010 527;10 868 895;11 010 527;10 868 895
Économie;134;13;22;Cotisations et contributions sociales;4 543 173;4 530 853;4 543 173;4 530 853
Économie;134;13;23;Prestations sociales et allocations diverses;160 390;176 031;160 390;176 031
Économie;134;13;31;Dépenses de fonctionnement autres que celles de personnel;7 428 979;38 000 000;7 428 979;11 470 000
Économie;134;15;21;Rémunérations d’activité;11 683 562;11 185 093;11 683 562;11 185 093
Économie;134;15;22;Cotisations et contributions sociales;5 365 532;4 982 910;5 365 532;4 982 910
Économie;134;15;23;Prestations sociales et allocations diverses;107 235;88 495;107 235;88 495
Économie;134;15;31;Dépenses de fonctionnement autres que celles de personnel;3 587 918;4 620 000;4 687 918;4 620 000
Économie;134;15;51;Dépenses pour immobilisations corporelles de l’État;560 000;380 000;560 000;380 000
Économie;134;15;52;Dépenses pour immobilisations incorporelles de l’État;200 000;400 000;200 000;400 000
Économie;134;16;21;Rémunérations d’activité;44 647 525;43 070 065;44 647 525;43 070 065
Économie;134;16;22;Cotisations et contributions sociales;27 753 418;26 487 801;27 753 418;26 487 801
Économie;134;16;23;Prestations sociales et allocations diverses;227 156;212 208;227 156;212 208
Économie;134;16;31;Dépenses de fonctionnement autres que celles de personnel;2 612 768;2 195 190;2 584 000;2 394 984
Économie;134;17;21;Rémunérations d’activité;66 625 718;65 690 275;66 625 718;65 690 275
Économie;134;17;22;Cotisations et contributions sociales;41 415 317;40 399 077;41 415 317;40 399 077
Économie;134;17;23;Prestations sociales et allocations diverses;338 976;323 659;338 976;323 659
Économie;134;17;31;Dépenses de fonctionnement autres que celles de personnel;3 823 172;3 348 094;3 780 242;3 652 818
Économie;134;17;64;Transferts aux autres collectivités;8 961 136;5 404 636;8 961 136;5 404 636
Économie;134;18;21;Rémunérations d’activité;26 954 388;26 044 246;26 954 388;26 044 246
Économie;134;18;22;Cotisations et contributions sociales;16 755 159;16 017 036;16 755 159;16 017 036
Économie;134;18;23;Prestations sociales et allocations diverses;137 138;128 321;137 138;128 321
Économie;134;18;31;Dépenses de fonctionnement autres que celles de personnel;1 577 368;1 327 420;1 560 000;1 448 234
Économie;134;18;64;Transferts aux autres collectivités;3 500;;3 500;
Économie;134;20;62;Transferts aux entreprises;24 861 001;48 000 000;24 861 001;48 000 000
Économie;134;20;64;Transferts aux autres collectivités;22 000;;22 000;
Économie;134;21;31;Dépenses de fonctionnement autres que celles de personnel;587 261;742 643;2 463 345;1 846 026
Économie;134;21;64;Transferts aux autres collectivités;1 727 115;;1 727 115;
Économie;134;22;31;Dépenses de fonctionnement autres que celles de personnel;720 000;;720 000;
Économie;134;22;64;Transferts aux autres collectivités;4 200 570;150 000;4 009 112;
Économie;220;1;21;Rémunérations d’activité;74 461 174;73 899 094;74 461 174;73 899 094
Économie;220;1;22;Cotisations et contributions sociales;30 106 132;29 902 136;30 106 132;29 902 136
Économie;220;1;23;Prestations sociales et allocations diverses;546 550;405 818;546 550;405 818
Économie;220;1;31;Dépenses de fonctionnement autres que celles de personnel;8 261 093;9 869 717;8 145 001;8 276 767
Économie;220;1;63;Transferts aux collectivités territoriales;24 331 081;20 858 781;24 331 081;20 858 781
Économie;220;2;21;Rémunérations d’activité;31 136 083;30 901 048;31 136 083;30 901 048
Économie;220;2;22;Cotisations et contributions sociales;21 077 891;22 419 588;21 077 891;22 419 588
Économie;220;2;23;Prestations sociales et allocations diverses;203 455;151 068;203 455;151 068
Économie;220;2;31;Dépenses de fonctionnement autres que celles de personnel;2 479 177;2 961 930;2 610 587;2 652 820
Économie;220;3;21;Rémunérations d’activité;37 322 068;37 040 337;37 322 068;37 040 337
Économie;220;3;22;Cotisations et contributions sociales;27 308 927;25 395 198;27 308 927;25 395 198
Économie;220;3;23;Prestations sociales et allocations diverses;291 723;216 608;291 723;216 608
Économie;220;3;31;Dépenses de fonctionnement autres que celles de personnel;6 943 984;8 296 137;7 263 912;7 381 424
Économie;220;5;21;Rémunérations d’activité;58 973 966;58 528 793;58 973 966;58 528 793
Économie;220;5;22;Cotisations et contributions sociales;33 794 171;37 745 008;33 794 171;37 745 008
Économie;220;5;23;Prestations sociales et allocations diverses;431 394;320 315;431 394;320 315
Économie;220;5;31;Dépenses de fonctionnement autres que celles de personnel;36 064 179;39 074 984;30 258 837;32 532 197
Économie;220;5;51;Dépenses pour immobilisations corporelles de l’État;2 859 257;6 953 370;2 644 436;6 998 501
Économie;220;6;21;Rémunérations d’activité;34 464 252;34 204 094;34 464 252;34 204 094
Économie;220;6;22;Cotisations et contributions sociales;22 448 605;19 365 891;22 448 605;19 365 891
Économie;220;6;23;Prestations sociales et allocations diverses;275 574;204 617;275 574;204 617
Économie;220;6;31;Dépenses de fonctionnement autres que celles de personnel;929 751;1 110 795;966 146;981 776
Économie;220;7;21;Rémunérations d’activité;2 631 753;2 611 887;2 631 753;2 611 887
Économie;220;7;22;Cotisations et contributions sociales;2 092 841;2 345 582;2 092 841;2 345 582
Économie;305;1;21;Rémunérations d’activité;42 619 515;44 233 869;42 619 515;44 233 869
Économie;305;1;22;Cotisations et contributions sociales;21 459 891;22 416 328;21 459 891;22 416 328
Économie;305;1;23;Prestations sociales et allocations diverses;418 887;468 953;418 887;468 953
Économie;305;1;31;Dépenses de fonctionnement autres que celles de personnel;261 899 728;264 001 159;261 899 728;264 001 159
Économie;305;1;64;Transferts aux autres collectivités;1 200 000;1 200 000;1 200 000;1 200 000
Économie;305;2;21;Rémunérations d’activité;59 608 102;59 923 915;59 608 102;59 923 915
Économie;305;2;22;Cotisations et contributions sociales;10 969 908;11 496 352;10 969 908;11 496 352
Économie;305;2;23;Prestations sociales et allocations diverses;126 496;112 355;126 496;112 355
Économie;305;2;31;Dépenses de fonctionnement autres que celles de personnel;12 859 331;13 100 000;12 859 331;13 100 000
Économie;305;2;51;Dépenses pour immobilisations corporelles de l’État;900 000;1 150 000;900 000;1 150 000
Économie;305;3;21;Rémunérations d’activité;10 483 875;10 743 469;10 483 875;10 743 469
Économie;305;3;22;Cotisations et contributions sociales;5 540 832;5 816 372;5 540 832;5 816 372
Économie;305;3;23;Prestations sociales et allocations diverses;74 473;72 373;74 473;72 373
Économie;343;1;63;Transferts aux collectivités territoriales;409 500 000;208 000 000;0;
Engagements financiers de l'État;114;1;65;Appels en garantie;1 000 000;900 000;1 000 000;900 000
Engagements financiers de l'État;114;2;65;Appels en garantie;21 900 000;38 290 000;21 900 000;38 290 000
Engagements financiers de l'État;114;3;65;Appels en garantie;4 000 000;1 400 000;4 000 000;1 400 000
Engagements financiers de l'État;114;4;65;Appels en garantie;0;63 000 000;0;63 000 000
Engagements financiers de l'État;114;5;65;Appels en garantie;500 000;500 000;500 000;500 000
Engagements financiers de l'État;117;1;41;Intérêt de la dette financière négociable;40 600 000 000;40 235 000 000;40 600 000 000;40 235 000 000
Engagements financiers de l'État;117;3;43;Charges financières diverses;948 000 000;962 000 000;948 000 000;962 000 000
Engagements financiers de l'État;145;1;31;Dépenses de fonctionnement autres que celles de personnel;1 326 000;1 347 213;1 326 000;1 347 213
Engagements financiers de l'État;145;1;61;Transferts aux ménages;190 706 000;147 580 787;190 706 000;147 580 787
Engagements financiers de l'État;145;2;31;Dépenses de fonctionnement autres que celles de personnel;685 000;523 000;685 000;523 000
Engagements financiers de l'État;145;2;61;Transferts aux ménages;783 000;549 000;783 000;549 000
Engagements financiers de l'État;168;1;62;Transferts aux entreprises;136 900 000;141 800 000;136 900 000;141 800 000
Engagements financiers de l'État;168;1;64;Transferts aux autres collectivités;8 700 000;;8 700 000;
Engagements financiers de l'État;344;1;31;Dépenses de fonctionnement autres que celles de personnel;0;0;92 720;91 731
Engagements financiers de l'État;344;1;64;Transferts aux autres collectivités;0;0;183 163 425;183 825 031
Enseignement scolaire;139;1;21;Rémunérations d’activité;344 925 923;353 207 745;344 925 923;353 207 745
Enseignement scolaire;139;1;22;Cotisations et contributions sociales;122 545 337;125 091 701;122 545 337;125 091 701
Enseignement scolaire;139;1;23;Prestations sociales et allocations diverses;711 861;706 783;711 861;706 783
Enseignement scolaire;139;1;64;Transferts aux autres collectivités;3 000;;3 000;
Enseignement scolaire;139;2;21;Rémunérations d’activité;920 483 830;938 739 419;920 483 830;938 739 419
Enseignement scolaire;139;2;22;Cotisations et contributions sociales;327 694 082;333 540 425;327 694 082;333 540 425
Enseignement scolaire;139;2;23;Prestations sociales et allocations diverses;2 187 550;2 157 693;2 187 550;2 157 693
Enseignement scolaire;139;3;21;Rémunérations d’activité;1 420 006 928;1 439 448 935;1 420 006 928;1 439 448 935
Enseignement scolaire;139;3;22;Cotisations et contributions sociales;511 216 380;520 707 774;511 216 380;520 707 774
Enseignement scolaire;139;3;23;Prestations sociales et allocations diverses;6 216 603;6 149 413;6 216 603;6 149 413
Enseignement scolaire;139;3;64;Transferts aux autres collectivités;1 000;;1 000;
Enseignement scolaire;139;4;21;Rémunérations d’activité;906 394 412;934 871 051;906 394 412;934 871 051
Enseignement scolaire;139;4;22;Cotisations et contributions sociales;334 693 841;345 518 104;334 693 841;345 518 104
Enseignement scolaire;139;4;23;Prestations sociales et allocations diverses;3 573 293;3 506 167;3 573 293;3 506 167
Enseignement scolaire;139;5;21;Rémunérations d’activité;573 622 199;578 996 531;573 622 199;578 996 531
Enseignement scolaire;139;5;22;Cotisations et contributions sociales;205 677 340;207 464 252;205 677 340;207 464 252
Enseignement scolaire;139;5;23;Prestations sociales et allocations diverses;1 910 911;1 900 674;1 910 911;1 900 674
Enseignement scolaire;139;6;21;Rémunérations d’activité;196 328 963;198 834 831;196 328 963;198 834 831
Enseignement scolaire;139;6;22;Cotisations et contributions sociales;84 952 163;85 969 555;84 952 163;85 969 555
Enseignement scolaire;139;6;23;Prestations sociales et allocations diverses;269 736;265 472;269 736;265 472
Enseignement scolaire;139;6;64;Transferts aux autres collectivités;8 000;;8 000;
Enseignement scolaire;139;7;21;Rémunérations d’activité;114 587 929;117 110 629;114 587 929;117 110 629
Enseignement scolaire;139;7;22;Cotisations et contributions sociales;40 587 270;41 259 252;40 587 270;41 259 252
Enseignement scolaire;139;7;23;Prestations sociales et allocations diverses;327 136;323 337;327 136;323 337
Enseignement scolaire;139;7;64;Transferts aux autres collectivités;8 000;;8 000;
Enseignement scolaire;139;8;61;Transferts aux ménages;71 348 798;73 850 911;71 348 798;73 850 911
Enseignement scolaire;139;8;64;Transferts aux autres collectivités;1 500;;1 500;
Enseignement scolaire;139;9;63;Transferts aux collectivités territoriales;1 000 000;1 000 000;1 000 000;1 000 000
Enseignement scolaire;139;9;64;Transferts aux autres collectivités;685 388 731;676 187 666;685 388 731;676 187 666
Enseignement scolaire;139;10;21;Rémunérations d’activité;82 961 730;85 383 934;82 961 730;85 383 934
Enseignement scolaire;139;10;22;Cotisations et contributions sociales;26 627 048;28 881 210;26 627 048;28 881 210
Enseignement scolaire;139;10;23;Prestations sociales et allocations diverses;394 096;389 837;394 096;389 837
Enseignement scolaire;139;10;64;Transferts aux autres collectivités;37 398 280;37 838 879;37 398 280;37 838 879
Enseignement scolaire;139;11;21;Rémunérations d’activité;122 472 843;124 928 179;122 472 843;124 928 179
Enseignement scolaire;139;11;22;Cotisations et contributions sociales;43 379 828;44 143 139;43 379 828;44 143 139
Enseignement scolaire;139;11;23;Prestations sociales et allocations diverses;10 597 607;10 597 608;10 597 607;10 597 608
Enseignement scolaire;139;12;22;Cotisations et contributions sociales;219 775 687;219 775 687;219 775 687;219 775 687
Enseignement scolaire;139;12;23;Prestations sociales et allocations diverses;9 151 326;9 151 326;9 151 326;9 151 326
Enseignement scolaire;139;12;31;Dépenses de fonctionnement autres que celles de personnel;5 288 096;5 288 096;5 288 096;5 288 096
Enseignement scolaire;140;1;21;Rémunérations d’activité;2 879 068 032;2 920 412 883;2 879 068 032;2 920 412 883
Enseignement scolaire;140;1;22;Cotisations et contributions sociales;2 324 290 028;2 362 962 494;2 324 290 028;2 362 962 494
Enseignement scolaire;140;1;23;Prestations sociales et allocations diverses;6 970 639;6 076 659;6 970 639;6 076 659
Enseignement scolaire;140;1;31;Dépenses de fonctionnement autres que celles de personnel;322 874;330 475;322 874;330 475
Enseignement scolaire;140;1;64;Transferts aux autres collectivités;203 722;;203 722;
Enseignement scolaire;140;2;21;Rémunérations d’activité;5 786 701 153;5 927 952 975;5 786 701 153;5 927 952 975
Enseignement scolaire;140;2;22;Cotisations et contributions sociales;4 694 480 858;4 820 652 449;4 694 480 858;4 820 652 449
Enseignement scolaire;140;2;23;Prestations sociales et allocations diverses;13 309 547;11 602 606;13 309 547;11 602 606
Enseignement scolaire;140;2;31;Dépenses de fonctionnement autres que celles de personnel;2 631 990;2 658 260;2 631 990;2 658 260
Enseignement scolaire;140;2;64;Transferts aux autres collectivités;7 467 026;7 399 631;7 467 026;7 399 631
Enseignement scolaire;140;3;21;Rémunérations d’activité;1 016 821 354;1 025 354 659;1 016 821 354;1 025 354 659
Enseignement scolaire;140;3;22;Cotisations et contributions sociales;827 604 928;835 985 139;827 604 928;835 985 139
Enseignement scolaire;140;3;23;Prestations sociales et allocations diverses;1 443 233;1 258 139;1 443 233;1 258 139
Enseignement scolaire;140;3;31;Dépenses de fonctionnement autres que celles de personnel;3 195 068;3 203 592;3 195 068;3 203 592
Enseignement scolaire;140;3;64;Transferts aux autres collectivités;3 000;;3 000;
Enseignement scolaire;140;4;21;Rémunérations d’activité;390 605 212;428 344 160;390 605 212;428 344 160
Enseignement scolaire;140;4;22;Cotisations et contributions sociales;369 173 457;401 995 201;369 173 457;401 995 201
Enseignement scolaire;140;4;23;Prestations sociales et allocations diverses;1 666 517;1 666 517;1 666 517;1 666 517
Enseignement scolaire;140;4;31;Dépenses de fonctionnement autres que celles de personnel;22 881 185;20 614 185;22 881 185;20 614 185
Enseignement scolaire;140;5;21;Rémunérations d’activité;991 554 810;1 017 853 981;991 554 810;1 017 853 981
Enseignement scolaire;140;5;22;Cotisations et contributions sociales;805 914 833;829 356 691;805 914 833;829 356 691
Enseignement scolaire;140;5;23;Prestations sociales et allocations diverses;2 277 743;1 985 624;2 277 743;1 985 624
Enseignement scolaire;140;6;21;Rémunérations d’activité;695 390 687;699 617 893;695 390 687;699 617 893
Enseignement scolaire;140;6;22;Cotisations et contributions sociales;578 453 759;583 856 502;578 453 759;583 856 502
Enseignement scolaire;140;6;23;Prestations sociales et allocations diverses;1 454 333;1 267 816;1 454 333;1 267 816
Enseignement scolaire;140;6;31;Dépenses de fonctionnement autres que celles de personnel;6 470 000;6 470 000;6 470 000;6 470 000
Enseignement scolaire;140;7;21;Rémunérations d’activité;52 070 834;52 727 775;52 070 834;52 727 775
Enseignement scolaire;140;7;22;Cotisations et contributions sociales;43 192 540;43 819 194;43 192 540;43 819 194
Enseignement scolaire;140;7;23;Prestations sociales et allocations diverses;107 988;94 139;107 988;94 139
Enseignement scolaire;141;1;21;Rémunérations d’activité;6 539 021 338;6 637 283 796;6 539 021 338;6 637 283 796
Enseignement scolaire;141;1;22;Cotisations et contributions sociales;4 849 492 627;4 884 506 441;4 849 492 627;4 884 506 441
Enseignement scolaire;141;1;23;Prestations sociales et allocations diverses;33 430 851;27 973 942;33 430 851;27 973 942
Enseignement scolaire;141;1;31;Dépenses de fonctionnement autres que celles de personnel;6 187 500;7 756 000;6 187 500;7 756 000
Enseignement scolaire;141;1;63;Transferts aux collectivités territoriales;102 649 127;26 123 808;102 649 127;26 123 808
Enseignement scolaire;141;1;64;Transferts aux autres collectivités;339 206;340 124;339 206;340 124
Enseignement scolaire;141;2;21;Rémunérations d’activité;4 089 990 485;4 151 322 517;4 089 990 485;4 151 322 517
Enseignement scolaire;141;2;22;Cotisations et contributions sociales;3 046 229 170;3 068 112 213;3 046 229 170;3 068 112 213
Enseignement scolaire;141;2;23;Prestations sociales et allocations diverses;24 924 984;21 832 469;24 924 984;21 832 469
Enseignement scolaire;141;2;31;Dépenses de fonctionnement autres que celles de personnel;2 838 573;3 244 573;2 838 573;3 244 573
Enseignement scolaire;141;2;63;Transferts aux collectivités territoriales;18 457 551;21 445 377;18 457 551;21 445 377
Enseignement scolaire;141;2;64;Transferts aux autres collectivités;174 515;167 102;174 515;167 102
Enseignement scolaire;141;3;21;Rémunérations d’activité;2 488 941 812;2 526 291 027;2 488 941 812;2 526 291 027
Enseignement scolaire;141;3;22;Cotisations et contributions sociales;1 854 046 601;1 867 373 356;1 854 046 601;1 867 373 356
Enseignement scolaire;141;3;23;Prestations sociales et allocations diverses;15 279 744;13 329 168;15 279 744;13 329 168
Enseignement scolaire;141;3;31;Dépenses de fonctionnement autres que celles de personnel;971 925;1 608 000;971 925;1 608 000
Enseignement scolaire;141;3;63;Transferts aux collectivités territoriales;9 418 912;10 401 453;9 418 912;10 401 453
Enseignement scolaire;141;3;64;Transferts aux autres collectivités;77 659;68 275;77 659;68 275
Enseignement scolaire;141;4;21;Rémunérations d’activité;3 607 006;3 659 022;3 607 006;3 659 022
Enseignement scolaire;141;4;22;Cotisations et contributions sociales;2 691 222;2 710 418;2 691 222;2 710 418
Enseignement scolaire;141;4;23;Prestations sociales et allocations diverses;22 773;22 773;22 773;22 773
Enseignement scolaire;141;4;63;Transferts aux collectivités territoriales;770 443;770 443;770 443;770 443
Enseignement scolaire;141;4;64;Transferts aux autres collectivités;114 270;109 270;114 270;109 270
Enseignement scolaire;141;5;21;Rémunérations d’activité;1 198 296 915;1 215 577 413;1 198 296 915;1 215 577 413
Enseignement scolaire;141;5;22;Cotisations et contributions sociales;891 101 495;897 428 673;891 101 495;897 428 673
Enseignement scolaire;141;5;23;Prestations sociales et allocations diverses;7 560 701;7 560 701;7 560 701;7 560 701
Enseignement scolaire;141;5;31;Dépenses de fonctionnement autres que celles de personnel;247 500;;247 500;
Enseignement scolaire;141;5;63;Transferts aux collectivités territoriales;1 165 245;1 392 485;1 165 245;1 392 485
Enseignement scolaire;141;5;64;Transferts aux autres collectivités;30 951;31 430;30 951;31 430
Enseignement scolaire;141;6;21;Rémunérations d’activité;688 726 220;698 658 259;688 726 220;698 658 259
Enseignement scolaire;141;6;22;Cotisations et contributions sociales;514 215 332;517 883 727;514 215 332;517 883 727
Enseignement scolaire;141;6;23;Prestations sociales et allocations diverses;4 349 680;4 349 680;4 349 680;4 349 680
Enseignement scolaire;141;6;63;Transferts aux collectivités territoriales;2 913 192;2 913 192;2 913 192;2 913 192
Enseignement scolaire;141;6;64;Transferts aux autres collectivités;2 807 227;2 797 227;2 807 227;2 797 227
Enseignement scolaire;141;7;21;Rémunérations d’activité;28 854 078;29 270 179;28 854 078;29 270 179
Enseignement scolaire;141;7;22;Cotisations et contributions sociales;21 534 817;21 688 434;21 534 817;21 688 434
Enseignement scolaire;141;7;23;Prestations sociales et allocations diverses;182 186;182 186;182 186;182 186
Enseignement scolaire;141;7;63;Transferts aux collectivités territoriales;2 202 654;2 224 004;2 202 654;2 224 004
Enseignement scolaire;141;7;64;Transferts aux autres collectivités;4 918 787;4 884 437;4 918 787;4 884 437
Enseignement scolaire;141;8;21;Rémunérations d’activité;180 321 341;185 958 534;180 321 341;185 958 534
Enseignement scolaire;141;8;22;Cotisations et contributions sociales;134 635 094;135 747 409;134 635 094;135 747 409
Enseignement scolaire;141;8;23;Prestations sociales et allocations diverses;1 138 660;1 138 660;1 138 660;1 138 660
Enseignement scolaire;141;8;31;Dépenses de fonctionnement autres que celles de personnel;1 138 500;1 488 000;1 138 500;1 488 000
Enseignement scolaire;141;9;21;Rémunérations d’activité;68 539 039;69 617 432;68 539 039;69 617 432
Enseignement scolaire;141;9;22;Cotisations et contributions sociales;51 118 128;51 487 232;51 118 128;51 487 232
Enseignement scolaire;141;9;23;Prestations sociales et allocations diverses;432 691;432 691;432 691;432 691
Enseignement scolaire;141;9;63;Transferts aux collectivités territoriales;634 607;634 607;634 607;634 607
Enseignement scolaire;141;9;64;Transferts aux autres collectivités;1 865 393;1 865 393;1 865 393;1 865 393
Enseignement scolaire;141;10;21;Rémunérations d’activité;336 759 751;342 786 689;336 759 751;342 786 689
Enseignement scolaire;141;10;22;Cotisations et contributions sociales;307 712 422;309 527 605;307 712 422;309 527 605
Enseignement scolaire;141;10;23;Prestations sociales et allocations diverses;1 116 716;1 116 716;1 116 716;1 116 716
Enseignement scolaire;141;10;31;Dépenses de fonctionnement autres que celles de personnel;39 500 000;36 800 000;39 500 000;36 800 000
Enseignement scolaire;141;10;64;Transferts aux autres collectivités;5 000;;5 000;
Enseignement scolaire;141;11;21;Rémunérations d’activité;829 599 135;842 013 182;829 599 135;842 013 182
Enseignement scolaire;141;11;22;Cotisations et contributions sociales;619 012 669;623 452 538;619 012 669;623 452 538
Enseignement scolaire;141;11;23;Prestations sociales et allocations diverses;12 487 835;17 487 835;12 487 835;17 487 835
Enseignement scolaire;141;12;21;Rémunérations d’activité;1 881 980 438;1 912 500 256;1 881 980 438;1 912 500 256
Enseignement scolaire;141;12;22;Cotisations et contributions sociales;1 403 835 146;1 414 019 935;1 403 835 146;1 414 019 935
Enseignement scolaire;141;12;23;Prestations sociales et allocations diverses;11 864 835;11 864 835;11 864 835;11 864 835
Enseignement scolaire;141;12;31;Dépenses de fonctionnement autres que celles de personnel;5 857 500;6 666 000;5 857 500;6 666 000
Enseignement scolaire;141;12;64;Transferts aux autres collectivités;1 500;;1 500;
Enseignement scolaire;141;13;21;Rémunérations d’activité;51 873 105;52 621 161;51 873 105;52 621 161
Enseignement scolaire;141;13;22;Cotisations et contributions sociales;40 498 252;40 777 860;40 498 252;40 777 860
Enseignement scolaire;141;13;23;Prestations sociales et allocations diverses;204 959;204 959;204 959;204 959
Enseignement scolaire;143;1;21;Rémunérations d’activité;401 842 791;411 401 448;401 842 791;411 401 448
Enseignement scolaire;143;1;22;Cotisations et contributions sociales;292 797 456;298 716 139;292 797 456;298 716 139
Enseignement scolaire;143;1;23;Prestations sociales et allocations diverses;3 490 291;3 584 486;3 490 291;3 584 486
Enseignement scolaire;143;1;32;Subventions pour charges de service public;;3 934 500;;3 934 500
Enseignement scolaire;143;1;63;Transferts aux collectivités territoriales;34 207 564;37 185 019;34 207 564;37 185 019
Enseignement scolaire;143;1;64;Transferts aux autres collectivités;3 855 609;4 092 109;3 855 609;4 092 109
Enseignement scolaire;143;1;72;Dotations en fonds propres;170 000;170 000;170 000;170 000
Enseignement scolaire;143;2;21;Rémunérations d’activité;178 720 593;183 086 244;178 720 593;183 086 244
Enseignement scolaire;143;2;22;Cotisations et contributions sociales;56 761 327;57 949 245;56 761 327;57 949 245
Enseignement scolaire;143;2;23;Prestations sociales et allocations diverses;935 273;960 514;935 273;960 514
Enseignement scolaire;143;2;64;Transferts aux autres collectivités;346 695 245;346 596 242;346 695 245;346 596 242
Enseignement scolaire;143;3;61;Transferts aux ménages;82 560 737;88 018 144;82 560 737;88 018 144
Enseignement scolaire;143;3;63;Transferts aux collectivités territoriales;6 950 000;7 951 264;6 950 000;7 951 264
Enseignement scolaire;143;4;61;Transferts aux ménages;502 234;662 234;502 234;662 234
Enseignement scolaire;143;4;63;Transferts aux collectivités territoriales;1 189 460;1 239 448;1 189 460;1 239 448
Enseignement scolaire;143;4;64;Transferts aux autres collectivités;1 467 857;1 482 536;1 467 857;1 482 536
Enseignement scolaire;143;5;31;Dépenses de fonctionnement autres que celles de personnel;5 521 995;5 521 995;5 521 995;5 521 995
Enseignement scolaire;214;1;21;Rémunérations d’activité;239 420 658;256 357 622;239 420 658;256 357 622
Enseignement scolaire;214;1;22;Cotisations et contributions sociales;151 131 483;163 226 481;151 131 483;163 226 481
Enseignement scolaire;214;1;23;Prestations sociales et allocations diverses;6 369 458;6 321 195;6 369 458;6 321 195
Enseignement scolaire;214;1;64;Transferts aux autres collectivités;165 772;;165 772;
Enseignement scolaire;214;2;21;Rémunérations d’activité;46 113 229;47 350 460;46 113 229;47 350 460
Enseignement scolaire;214;2;22;Cotisations et contributions sociales;28 536 920;29 458 062;28 536 920;29 458 062
Enseignement scolaire;214;2;23;Prestations sociales et allocations diverses;692 975;688 303;692 975;688 303
Enseignement scolaire;214;2;31;Dépenses de fonctionnement autres que celles de personnel;4 512 528;4 762 528;4 512 528;4 762 528
Enseignement scolaire;214;2;64;Transferts aux autres collectivités;1 500;;1 500;
Enseignement scolaire;214;3;21;Rémunérations d’activité;5 582 156;5 789 159;5 582 156;5 789 159
Enseignement scolaire;214;3;22;Cotisations et contributions sociales;3 555 224;3 709 342;3 555 224;3 709 342
Enseignement scolaire;214;3;23;Prestations sociales et allocations diverses;187 273;187 273;187 273;187 273
Enseignement scolaire;214;3;31;Dépenses de fonctionnement autres que celles de personnel;4 414 171;4 414 171;4 414 171;4 414 171
Enseignement scolaire;214;4;21;Rémunérations d’activité;6 301 521;6 576 727;6 301 521;6 576 727
Enseignement scolaire;214;4;22;Cotisations et contributions sociales;4 033 666;4 238 563;4 033 666;4 238 563
Enseignement scolaire;214;4;23;Prestations sociales et allocations diverses;314 082;314 082;314 082;314 082
Enseignement scolaire;214;4;31;Dépenses de fonctionnement autres que celles de personnel;5 979 908;5 979 908;5 979 908;5 979 908
Enseignement scolaire;214;5;21;Rémunérations d’activité;3 351 459;3 445 986;3 351 459;3 445 986
Enseignement scolaire;214;5;22;Cotisations et contributions sociales;2 109 845;2 180 222;2 109 845;2 180 222
Enseignement scolaire;214;5;23;Prestations sociales et allocations diverses;59 938;59 938;59 938;59 938
Enseignement scolaire;214;5;31;Dépenses de fonctionnement autres que celles de personnel;245 298;245 298;245 298;245 298
Enseignement scolaire;214;5;32;Subventions pour charges de service public;5 808 525;5 808 525;5 808 525;5 808 525
Enseignement scolaire;214;5;64;Transferts aux autres collectivités;2 203 543;2 203 543;2 203 543;2 203 543
Enseignement scolaire;214;6;21;Rémunérations d’activité;371 909 976;386 202 871;371 909 976;386 202 871
Enseignement scolaire;214;6;22;Cotisations et contributions sociales;216 194 882;226 932 874;216 194 882;226 932 874
Enseignement scolaire;214;6;23;Prestations sociales et allocations diverses;18 800 166;18 723 324;18 800 166;18 723 324
Enseignement scolaire;214;6;31;Dépenses de fonctionnement autres que celles de personnel;93 909 397;97 538 800;93 909 397;97 538 800
Enseignement scolaire;214;6;61;Transferts aux ménages;4 083 548;;4 083 548;
Enseignement scolaire;214;6;64;Transferts aux autres collectivités;1 000;;1 000;
Enseignement scolaire;214;7;32;Subventions pour charges de service public;154 191 475;156 668 611;154 191 475;156 668 611
Enseignement scolaire;214;8;21;Rémunérations d’activité;162 494 369;167 677 830;162 494 369;167 677 830
Enseignement scolaire;214;8;22;Cotisations et contributions sociales;101 821 727;105 706 228;101 821 727;105 706 228
